週,企業ID,企業名,フェーズ,売上高,費用計,収支,現金残高,借入残高,在庫数,B2B販売数,B2C販売数,生産指示数,生産完了数,開発指示数,開発完了数,採用数,施設規模,人件費,施設費
1,1,Player Corp,,0,0,0,1000000000,0,0,0,0,0,0,0,0,0,0,0,0
1,2,Galaxy Motors,STABLE,0,48916840,-48916840,2920363144,0,170,0,0,30,30,1,0,2,1740,100676839,27200000
1,3,Jupiter Group,STABLE,0,94574408,-94574408,1958937592,0,162,0,0,62,62,1,0,3,1210,70498407,18760000
1,4,Prime Cars,STABLE,0,-110380642,110380642,12725644640,0,600,0,0,0,0,1,0,3,7340,425747357,114720000
1,5,Eco Automotive,STABLE,0,114485787,-114485787,2036658195,0,178,0,0,78,78,1,0,3,1310,72873786,20520000
1,6,Galaxy Mobility,STABLE,0,-1979495,1979495,4134131489,0,200,0,0,0,0,1,0,2,2450,139384504,38200000
1,7,Omega Ltd.,STABLE,0,11272219,-11272219,3424207767,0,164,0,0,4,4,1,0,1,2010,115692218,31640000
1,8,Horizon Corporation,STABLE,0,-30081405,30081405,6372417405,0,300,0,0,0,0,1,0,3,3780,213390595,58880000
1,9,Future Motors,STABLE,0,-55496531,55496531,8394608515,0,400,0,0,0,0,1,0,3,4870,281907468,75880000
1,10,モータースショップ,STABLE,536400000,21698985,514701015,2740176011,0,513,0,149,0,0,0,0,3,1080,64701484,31635000
1,11,ファミリーアベニュー,STABLE,741600000,20416106,721183894,2830963884,0,456,0,206,0,0,0,0,3,1085,63286105,28340000
1,12,カーショップディーラー,STABLE,392400000,20875177,371524823,2526376817,0,553,0,109,0,0,0,0,3,1080,63249176,30340000
2,1,Player Corp,,0,0,0,1000000000,0,0,0,0,0,0,0,0,0,0,0,0
2,2,Galaxy Motors,STABLE,100164544,73557143,26607401,2654934231,0,170,34,0,34,34,0,0,2,1740,101575300,27200000
2,3,Jupiter Group,STABLE,82176556,186209175,-104032619,1854904973,0,181,28,0,47,47,0,0,3,1210,72049175,18760000
2,4,Prime Cars,STABLE,79400601,-44251799,123652400,11576732576,0,573,27,0,0,0,0,0,3,7340,427310433,114720000
2,5,Eco Automotive,STABLE,85337401,48514721,36822680,1869815057,0,162,29,0,13,13,0,0,3,1310,74227630,20520000
2,6,Galaxy Mobility,STABLE,85027826,33517930,51509896,3772228237,0,181,29,0,10,10,0,0,1,2450,140024504,38200000
2,7,Omega Ltd.,STABLE,97699833,76331060,21368773,3103155764,0,172,33,0,41,41,0,0,2,2010,116701448,31640000
2,8,Horizon Corporation,STABLE,94722464,4548185,90174279,5825349944,0,268,32,0,0,0,0,0,2,3780,214289055,58880000
2,9,Future Motors,STABLE,88641630,-10318343,98959973,7654107638,0,370,30,0,0,0,0,0,3,4870,283532082,75880000
2,10,モータースショップ,GROWTH,623783247,724873921,-101090674,2365067737,0,572,0,183,0,0,0,0,5,1080,67076866,31635000
2,11,ファミリーアベニュー,GROWTH,911680101,2453293,909226808,3457094304,0,189,0,267,0,0,0,0,5,1085,65661487,28340000
2,12,カーショップディーラー,GROWTH,443684220,19153411,424530809,2698269946,0,423,0,130,0,0,0,0,4,1080,65132251,30340000
3,1,Player Corp,,0,0,0,1000000000,0,0,0,0,0,0,0,0,0,0,0,0
3,2,Galaxy Motors,STABLE,460245320,206625511,253619809,2643060618,0,136,167,0,133,133,0,0,2,1740,102572222,27200000
3,3,Jupiter Group,STABLE,488476290,238707634,249768656,2104673629,0,98,174,0,91,91,0,0,3,1210,73747634,18760000
3,4,Prime Cars,STABLE,497843632,13772266,484071366,10903130686,0,397,176,0,0,0,0,0,1,7340,427888894,114720000
3,5,Eco Automotive,STABLE,438381428,246172244,192209184,2062024241,0,98,158,0,94,94,0,0,3,1310,75852244,20520000
3,6,Galaxy Mobility,STABLE,266296320,150486938,115809382,3510814797,0,176,96,0,91,91,0,0,3,2450,141698349,38200000
3,7,Omega Ltd.,STABLE,438231321,225897506,212333815,3005174003,0,170,153,0,151,151,0,0,3,2010,118215294,31640000
3,8,Horizon Corporation,STABLE,481270964,162147710,319123254,5561938204,0,203,172,0,107,107,0,0,3,3780,216135207,58880000
3,9,Future Motors,STABLE,533103228,44577469,488525759,7377222635,0,195,189,0,14,14,0,0,2,4870,284602850,75880000
3,10,モータースショップ,GROWTH,715908205,608021222,107886983,2236447948,0,573,0,222,0,0,0,0,4,1080,68996865,31635000
3,11,ファミリーアベニュー,GROWTH,788134269,2191567490,-1403433221,1707951653,0,735,0,244,0,0,0,0,5,1085,68209177,28340000
3,12,カーショップディーラー,GROWTH,516823901,773106868,-256282967,2172159985,0,535,0,160,0,0,0,0,5,1080,67347633,30340000
4,1,Player Corp,,0,0,0,1000000000,0,0,0,0,0,0,0,0,0,0,0,0
4,2,Galaxy Motors,GROWTH,197361087,206333039,-8971952,2369782606,0,192,77,0,133,133,0,0,1,1740,101686069,27200000
4,3,Jupiter Group,GROWTH,233297240,137797030,95500210,1989706477,0,101,88,0,91,91,0,0,0,1210,73070711,18760000
4,4,Prime Cars,GROWTH,741829550,142412364,599417186,10412234804,0,205,275,0,83,83,0,0,3,7340,423248898,114720000
4,5,Eco Automotive,GROWTH,224322565,143095649,81226916,1937048733,0,105,85,0,92,92,0,0,0,1310,74276861,20520000
4,6,Galaxy Mobility,GROWTH,212524479,76480687,136043792,3295777111,0,114,81,0,19,19,0,0,1,2450,141021426,38200000
4,7,Omega Ltd.,GROWTH,292061743,185011980,107049763,2811706366,0,178,107,0,115,115,0,0,0,2010,115630680,31640000
4,8,Horizon Corporation,GROWTH,247483835,146715224,100768611,5106512995,0,195,95,0,87,87,0,0,2,3780,211532134,58880000
4,9,Future Motors,GROWTH,295680330,188587877,107092453,6746592826,0,211,110,0,126,126,0,0,5,4870,280369008,75880000
4,10,モータースショップ,GROWTH,568110416,962289221,-394178805,1618624349,0,766,0,175,0,0,0,0,1,1080,66301483,31635000
4,11,ファミリーアベニュー,GROWTH,738949395,599571710,139377685,1847329338,0,694,0,228,0,0,0,0,2,1085,66904562,28340000
4,12,カーショップディーラー,GROWTH,548565993,953150488,-404584495,1550359492,0,729,0,169,0,0,0,0,1,1080,67359941,30340000
5,1,Player Corp,,0,0,0,1000000000,0,0,0,0,0,0,0,0,0,0,0,0
5,2,Galaxy Motors,GROWTH,316417725,181864636,134553089,2267357435,0,183,117,0,108,108,0,0,1,1740,96553766,27200000
5,3,Jupiter Group,GROWTH,218596934,237335324,-18738390,1970968087,0,105,83,0,87,87,0,0,5,1210,75175324,18760000
5,4,Prime Cars,GROWTH,348549890,299338714,49211176,9420222500,0,284,130,0,209,209,0,0,1,7340,404430454,114720000
5,5,Eco Automotive,GROWTH,235883790,236643018,-759228,1936289505,0,104,90,0,89,89,0,0,0,1310,71323018,20520000
5,6,Galaxy Mobility,GROWTH,232760187,184623343,48136844,3014336245,0,128,89,0,103,103,0,0,1,2450,137612198,38200000
