週,企業ID,企業名,業界,経営方針,フェーズ,売上高,売上原価,原価率,売上総利益,粗利率,人件費計,人件費率,地代家賃計,家賃率,広告宣伝費,広告費率,営業利益,営業利益率,支払利息,特別利益,当期純利益,純利益率,人件費(生産),人件費(開発),人件費(営業),人件費(人事),人件費(広報),人件費(経理),人件費(店舗),家賃(工場),家賃(オフィス),家賃(店舗),材料費(CF),商品仕入(CF),設備投資(CF)
1,15,Player Corp,automotive,standard,,0,0,0.0%,0,0.0%,7384608,0.0%,560000,0.0%,0,0.0%,-7944608,0.0%,0,0,-7944608,0.0%,1230768,1230768,1230768,1230768,1230768,1230768,0,60000,500000,0,0,0,0
1,16,Global Mobility,automotive,standard,STABLE,0,0,0.0%,0,0.0%,9612299,0.0%,560000,0.0%,2000000,0.0%,-12172299,0.0%,0,0,-12172299,0.0%,2227690,1230768,1230768,2461537,1230768,1230768,0,60000,500000,0,6000000,0,50000000
1,17,Cyber Works,automotive,standard,STABLE,0,0,0.0%,0,0.0%,9513837,0.0%,560000,0.0%,2000000,0.0%,-12073837,0.0%,0,0,-12073837,0.0%,2129228,1230768,1230768,2461537,1230768,1230768,0,60000,500000,0,4800000,0,50000000
1,18,Omega Automotive,automotive,standard,STABLE,0,0,0.0%,0,0.0%,9439991,0.0%,560000,0.0%,2000000,0.0%,-11999991,0.0%,0,0,-11999991,0.0%,2055382,1230768,1230768,2461537,1230768,1230768,0,60000,500000,0,4800000,0,50000000
1,19,Galaxy Co.,automotive,standard,STABLE,0,0,0.0%,0,0.0%,9046146,0.0%,560000,0.0%,2000000,0.0%,-11606146,0.0%,0,0,-11606146,0.0%,1661537,1230768,1230768,2461537,1230768,1230768,0,60000,500000,0,6000000,0,50000000
1,20,Aurora Works,automotive,standard,STABLE,0,0,0.0%,0,0.0%,9070761,0.0%,560000,0.0%,2000000,0.0%,-11630761,0.0%,0,0,-11630761,0.0%,1686152,1230768,1230768,2461537,1230768,1230768,0,60000,500000,0,6000000,0,50000000
1,21,Eclipse Technologies,automotive,standard,STABLE,0,0,0.0%,0,0.0%,9378453,0.0%,560000,0.0%,2000000,0.0%,-11938453,0.0%,0,0,-11938453,0.0%,1993844,1230768,1230768,2461537,1230768,1230768,0,60000,500000,0,4800000,0,50000000
1,22,Galaxy Engineering,automotive,standard,STABLE,0,0,0.0%,0,0.0%,9243068,0.0%,560000,0.0%,2000000,0.0%,-11803068,0.0%,0,0,-11803068,0.0%,1858459,1230768,1230768,2461537,1230768,1230768,0,60000,500000,0,4800000,0,50000000
1,23,Techno Holdings,automotive,standard,STABLE,0,0,0.0%,0,0.0%,8861530,0.0%,560000,0.0%,2000000,0.0%,-11421530,0.0%,0,0,-11421530,0.0%,1476921,1230768,1230768,2461537,1230768,1230768,0,60000,500000,0,4800000,0,50000000
1,24,ドライブ屋,automotive,standard,STABLE,144000000,129600000,90.0%,14400000,10.0%,8566146,5.9%,660000,0.5%,0,0.0%,5173854,3.6%,0,0,5173854,3.6%,0,0,2412305,2461537,1230768,1230768,1230768,0,500000,160000,0,0,0
