週,企業ID,業界,区分,フェーズ,現金残高,時価総額,売上,支出,収支,現状シェア,シェア目標,生産目標,生産数,生産キャパ,販売目標,販売数,販売キャパ,事業部施設要求,事業部施設キャパ,人事要求値,人事キャパ,共通施設要求,共通施設キャパ,生産人員,営業人員,開発人員,人事人員,広報人員,経理人員,店舗人員
1,16,automotive,npc_maker,STABLE,3000000000,1000000000,0,68172299,-68172299,0.1111111111111111,0.12222222222222223,144,5,800.0,0,0,0.0,533,44,346,1200.0,724,62,2,2,2,3,2,2,0
1,17,automotive,npc_maker,STABLE,3000000000,1000000000,0,66873837,-66873837,0.1111111111111111,0.12222222222222223,144,4,800.0,0,0,0.0,533,44,346,1200.0,724,62,2,2,2,3,2,2,0
1,18,automotive,npc_maker,STABLE,3000000000,1000000000,0,66799991,-66799991,0.1111111111111111,0.12222222222222223,144,4,800.0,0,0,0.0,533,44,346,1200.0,724,62,2,2,2,3,2,2,0
1,19,automotive,npc_maker,STABLE,3000000000,1000000000,0,67606146,-67606146,0.1111111111111111,0.12222222222222223,144,5,800.0,0,0,0.0,533,44,346,1200.0,724,62,2,2,2,3,2,2,0
1,20,automotive,npc_maker,STABLE,3000000000,1000000000,0,67630761,-67630761,0.1111111111111111,0.12222222222222223,144,5,800.0,0,0,0.0,533,44,346,1200.0,724,62,2,2,2,3,2,2,0
1,21,automotive,npc_maker,STABLE,3000000000,1000000000,0,66738453,-66738453,0.1111111111111111,0.12222222222222223,144,4,800.0,0,0,0.0,533,44,346,1200.0,724,62,2,2,2,3,2,2,0
1,22,automotive,npc_maker,STABLE,3000000000,1000000000,0,66603068,-66603068,0.1111111111111111,0.12222222222222223,144,4,800.0,0,0,0.0,533,44,346,1200.0,724,62,2,2,2,3,2,2,0
1,23,automotive,npc_maker,STABLE,3000000000,1000000000,0,66221530,-66221530,0.1111111111111111,0.12222222222222223,144,4,800.0,0,0,0.0,533,44,346,1200.0,724,62,2,2,2,3,2,2,0
1,24,automotive,npc_retail,STABLE,3000000000,1000000000,144000000,9226146,134773854,0.032,0.26666666666666666,0,0,0.0,266,40,35.2,16,44,293,1200.0,4860,62,0,2,0,3,2,2,2
1,25,automotive,npc_retail,STABLE,3000000000,1000000000,144000000,8795377,135204623,0.032,0.26666666666666666,0,0,0.0,266,40,35.2,16,44,293,1200.0,4860,62,0,2,0,3,2,2,2
1,26,automotive,npc_retail,STABLE,3000000000,1000000000,144000000,8758455,135241545,0.032,0.26666666666666666,0,0,0.0,266,40,35.2,16,44,293,1200.0,4860,62,0,2,0,3,2,2,2
1,27,pc,npc_maker,STABLE,3000000000,1000000000,0,71439992,-71439992,0.125,0.1375,1274,80,800.0,0,0,0.0,254,44,346,1200.0,3803,62,2,2,2,3,2,2,0
1,28,pc,npc_maker,STABLE,3000000000,1000000000,0,71206146,-71206146,0.125,0.1375,1274,80,800.0,0,0,0.0,254,44,346,1200.0,3803,62,2,2,2,3,2,2,0
