Week 1 | Player Corp (ID: 1) | Development Start | Started New Product 1
Week 1 | Rival Motors A (ID: 2) | HR Hiring Offer | Offered 2320000 yen to NPC_8885 (ID: 14)
Week 1 | Rival Motors A (ID: 2) | HR Hiring Offer | Offered 2400000 yen to NPC_3822 (ID: 30)
Week 1 | Rival Motors A (ID: 2) | HR Hiring Offer | Offered 2000000 yen to NPC_7337 (ID: 50)
Week 1 | Rival Motors A (ID: 2) | Development Start | Started development of Model 5-K
Week 1 | Rival Motors A (ID: 2) | HR Hiring Offer | Offered 3440000 yen to NPC_4188 (ID: 24576)
Week 1 | Rival Motors A (ID: 2) | HR Hiring Offer | Offered 3040000 yen to NPC_9024 (ID: 24465)
Week 1 | Rival Motors A (ID: 2) | HR Hiring Offer | Offered 2800000 yen to NPC_6866 (ID: 24194)
Week 1 | Rival Motors A (ID: 2) | HR Promotion | Promoted NPC_3415 to CxO
Week 1 | Rival Motors A (ID: 2) | HR Promotion | Promoted NPC_8436 to CxO
Week 1 | Rival Motors A (ID: 2) | HR Promotion | Promoted NPC_2557 to CxO
Week 1 | Rival Motors A (ID: 2) | HR Promotion | Promoted NPC_6283 to CxO
Week 1 | Rival Motors A (ID: 2) | HR Promotion | Promoted NPC_3291 to CxO
Week 1 | Rival Motors A (ID: 2) | HR Promotion | Promoted NPC_9298 to CxO
Week 1 | Rival Motors A (ID: 2) | Development Start | Started development of Model 732-A
Week 1 | Rival Motors A (ID: 2) | Advertising | Brand Ad (Budget: 150000000)
Week 1 | Rival Motors A (ID: 2) | Pricing | Changed MSRP of Start Model to 3387156
Week 1 | Rival Motors B (ID: 3) | HR Hiring Offer | Offered 3280000 yen to NPC_2617 (ID: 24534)
Week 1 | Rival Motors B (ID: 3) | HR Hiring Offer | Offered 2000000 yen to NPC_7455 (ID: 24182)
Week 1 | Rival Motors B (ID: 3) | HR Hiring Offer | Offered 3040000 yen to NPC_5045 (ID: 24325)
Week 1 | Rival Motors B (ID: 3) | HR Promotion | Promoted NPC_7620 to CxO
Week 1 | Rival Motors B (ID: 3) | HR Promotion | Promoted NPC_8569 to CxO
Week 1 | Rival Motors B (ID: 3) | HR Promotion | Promoted NPC_4854 to CxO
Week 1 | Rival Motors B (ID: 3) | HR Promotion | Promoted NPC_5153 to CxO
Week 1 | Rival Motors B (ID: 3) | HR Promotion | Promoted NPC_7230 to CxO
Week 1 | Rival Motors B (ID: 3) | HR Promotion | Promoted NPC_9659 to CxO
Week 1 | Rival Motors B (ID: 3) | Development Start | Started development of Model 465-K
Week 1 | Rival Motors B (ID: 3) | Advertising | Brand Ad (Budget: 150000000)
Week 1 | Rival Motors B (ID: 3) | Pricing | Changed MSRP of Start Model to 3407046
Week 1 | Rival Motors C (ID: 4) | HR Hiring Offer | Offered 2240000 yen to NPC_6748 (ID: 24444)
Week 1 | Rival Motors C (ID: 4) | HR Hiring Offer | Offered 3840000 yen to NPC_5743 (ID: 24446)
Week 1 | Rival Motors C (ID: 4) | HR Hiring Offer | Offered 2400000 yen to NPC_9478 (ID: 24584)
Week 1 | Rival Motors C (ID: 4) | HR Promotion | Promoted NPC_9770 to CxO
Week 1 | Rival Motors C (ID: 4) | HR Promotion | Promoted NPC_9428 to CxO
Week 1 | Rival Motors C (ID: 4) | HR Promotion | Promoted NPC_1611 to CxO
Week 1 | Rival Motors C (ID: 4) | HR Promotion | Promoted NPC_5787 to CxO
Week 1 | Rival Motors C (ID: 4) | HR Promotion | Promoted NPC_9244 to CxO
Week 1 | Rival Motors C (ID: 4) | HR Promotion | Promoted NPC_6495 to CxO
Week 1 | Rival Motors C (ID: 4) | Development Start | Started development of Model 536-T
Week 1 | Rival Motors C (ID: 4) | Advertising | Brand Ad (Budget: 150000000)
Week 1 | Rival Motors C (ID: 4) | Pricing | Changed MSRP of Start Model to 3471517
Week 1 | Rival Motors D (ID: 5) | HR Hiring Offer | Offered 3040000 yen to NPC_8812 (ID: 24243)
Week 1 | Rival Motors D (ID: 5) | HR Hiring Offer | Offered 2800000 yen to NPC_6866 (ID: 24194)
Week 1 | Rival Motors D (ID: 5) | HR Hiring Offer | Offered 3440000 yen to NPC_1744 (ID: 24220)
Week 1 | Rival Motors D (ID: 5) | HR Promotion | Promoted NPC_6389 to CxO
